Run	Year	LandUnit	Species	pSpp	Area
1	0	2	 S	1	60.750000
1	0	3	 BbPe	0.018586	38.500000
1	0	3	 BbE	0.006517	13.500000
1	0	3	 BbS	0.036085	74.750000
1	0	3	 PeBb	0.016293	33.750000
1	0	3	 E	0.585807	1213.500000
1	0	3	 EBb	0.006155	12.750000
1	0	3	 EPg	0.021241	44.000000
1	0	3	 ES	0.020034	41.500000
1	0	3	 EMe	0.104634	216.750000
1	0	3	 PgE	0.130944	271.250000
1	0	3	 PgMe	0.002534	5.250000
1	0	3	 S	0.001448	3.000000
1	0	3	 SE	0.031620	65.500000
1	0	3	 Me	0.002534	5.250000
1	0	3	 MeE	0.015568	32.250000
1	0	4	 Bb	0.016341	737.750000
1	0	4	 BbPe	0.021396	966.000000
1	0	4	 BbE	0.019984	902.250000
1	0	4	 BbS	0.139221	6285.500000
1	0	4	 Pe	0.000399	18.000000
1	0	4	 PeBb	0.016103	727.000000
1	0	4	 PeE	0.001634	73.750000
1	0	4	 PeS	0.000199	9.000000
1	0	4	 E	0.358124	16168.500000
1	0	4	 EBb	0.045235	2042.250000
1	0	4	 EPe	0.012160	549.000000
1	0	4	 EPg	0.032538	1469.000000
1	0	4	 ES	0.071366	3222.000000
1	0	4	 EMe	0.045844	2069.750000
1	0	4	 EC	0.000570	25.750000
1	0	4	 Pg	0.003605	162.750000
1	0	4	 PgBb	0.001495	67.500000
1	0	4	 PgPe	0.001013	45.750000
1	0	4	 PgE	0.144963	6544.750000
1	0	4	 PgMe	0.000404	18.250000
1	0	4	 S	0.010106	456.250000
1	0	4	 SBb	0.024038	1085.250000
1	0	4	 SPe	0.008301	374.750000
1	0	4	 SE	0.009319	420.750000
1	0	4	 SPg	0.000581	26.250000
1	0	4	 SC	0.000432	19.500000
1	0	4	 Me	0.001035	46.750000
1	0	4	 MeE	0.012094	546.000000
1	0	4	 MePg	0.000548	24.750000
1	0	4	 C	0.000100	4.500000
1	0	4	 CE	0.000432	19.500000
1	0	4	 CS	0.000421	19.000000
1	0	5	 Bb	0.095610	21787.500000
1	0	5	 BbPe	0.083114	18940.000000
1	0	5	 BbE	0.012446	2836.250000
1	0	5	 BbPg	0.001596	363.750000
1	0	5	 BbS	0.228627	52099.500000
1	0	5	 Pe	0.004924	1122.000000
1	0	5	 PeBb	0.058780	13394.750000
1	0	5	 PeE	0.007327	1669.750000
1	0	5	 PePg	0.003655	833.000000
1	0	5	 PeS	0.001462	333.250000
1	0	5	 E	0.117226	26713.500000
1	0	5	 EBb	0.025698	5856.000000
1	0	5	 EPe	0.020975	4779.750000
1	0	5	 EPg	0.029772	6784.500000
1	0	5	 ES	0.038065	8674.250000
1	0	5	 EMe	0.001627	370.750000
1	0	5	 Pg	0.016376	3731.750000
1	0	5	 PgBb	0.005185	1181.500000
1	0	5	 PgPe	0.007519	1713.500000
1	0	5	 PgE	0.182948	41690.250000
1	0	5	 PgMe	0.000076	17.250000
1	0	5	 S	0.021052	4797.250000
1	0	5	 SBb	0.021905	4991.750000
1	0	5	 SPe	0.010169	2317.250000
1	0	5	 SE	0.003556	810.250000
1	0	5	 SPg	0.000063	14.250000
1	0	5	 SMe	0.000133	30.250000
1	0	5	 MeE	0.000032	7.250000
1	0	5	 MePg	0.000001	0.250000
1	0	5	 CBb	0.000067	15.250000
1	0	5	 CS	0.000015	3.500000
1	0	6	 Bb	0.081879	9064.000000
1	0	6	 BbPe	0.092208	10207.500000
1	0	6	 BbE	0.023839	2639.000000
1	0	6	 BbPg	0.001784	197.500000
1	0	6	 BbS	0.125779	13923.750000
1	0	6	 Pe	0.005126	567.500000
1	0	6	 PeBb	0.068875	7624.500000
1	0	6	 PeE	0.006854	758.750000
1	0	6	 PePg	0.002949	326.500000
1	0	6	 PeS	0.001159	128.250000
1	0	6	 E	0.085456	9460.000000
1	0	6	 EBb	0.036798	4073.500000
1	0	6	 EPe	0.018670	2066.750000
1	0	6	 EPg	0.038460	4257.500000
1	0	6	 ES	0.047195	5224.500000
1	0	6	 EMe	0.000585	64.750000
1	0	6	 Pg	0.068875	7624.500000
1	0	6	 PgBb	0.010948	1212.000000
1	0	6	 PgPe	0.014537	1609.250000
1	0	6	 PgE	0.208902	23125.500000
1	0	6	 PgS	0.000075	8.250000
1	0	6	 S	0.018625	2061.750000
1	0	6	 SBb	0.026330	2914.750000
1	0	6	 SPe	0.010237	1133.250000
1	0	6	 SE	0.003643	403.250000
1	0	6	 SPg	0.000212	23.500000
1	0	7	 Bb	0.022172	102.750000
1	0	7	 BbPe	0.082160	380.750000
1	0	7	 BbE	0.030749	142.500000
1	0	7	 BbS	0.124562	577.250000
1	0	7	 Pe	0.001618	7.500000
1	0	7	 PeBb	0.040999	190.000000
1	0	7	 PeE	0.002104	9.750000
1	0	7	 E	0.087339	404.750000
1	0	7	 EBb	0.114096	528.750000
1	0	7	 EPe	0.016454	76.250000
1	0	7	 EPg	0.038949	180.500000
1	0	7	 ES	0.053299	247.000000
1	0	7	 Pg	0.058370	270.500000
1	0	7	 PgBb	0.015536	72.000000
1	0	7	 PgPe	0.012354	57.250000
1	0	7	 PgE	0.224524	1040.500000
1	0	7	 S	0.003560	16.500000
1	0	7	 SBb	0.052867	245.000000
1	0	7	 SPe	0.018288	84.750000
1	5	2	 S	1	60.750000
1	5	3	 BbPe	0.018586	38.500000
1	5	3	 BbE	0.006517	13.500000
1	5	3	 BbS	0.036085	74.750000
1	5	3	 PeBb	0.016293	33.750000
1	5	3	 E	0.585807	1213.500000
1	5	3	 EBb	0.006155	12.750000
1	5	3	 EPg	0.021241	44.000000
1	5	3	 ES	0.020034	41.500000
1	5	3	 EMe	0.104634	216.750000
1	5	3	 PgE	0.130944	271.250000
1	5	3	 PgMe	0.002534	5.250000
1	5	3	 S	0.001448	3.000000
1	5	3	 SE	0.031620	65.500000
1	5	3	 Me	0.002534	5.250000
1	5	3	 MeE	0.015568	32.250000
1	5	4	 Bb	0.016341	737.750000
1	5	4	 BbPe	0.021396	966.000000
1	5	4	 BbE	0.019984	902.250000
1	5	4	 BbS	0.139221	6285.500000
1	5	4	 Pe	0.000399	18.000000
1	5	4	 PeBb	0.016103	727.000000
1	5	4	 PeE	0.001634	73.750000
1	5	4	 PeS	0.000199	9.000000
1	5	4	 E	0.358124	16168.500000
1	5	4	 EBb	0.045235	2042.250000
1	5	4	 EPe	0.012160	549.000000
1	5	4	 EPg	0.032538	1469.000000
1	5	4	 ES	0.071366	3222.000000
1	5	4	 EMe	0.045844	2069.750000
1	5	4	 EC	0.000570	25.750000
1	5	4	 Pg	0.003605	162.750000
1	5	4	 PgBb	0.001495	67.500000
1	5	4	 PgPe	0.001013	45.750000
1	5	4	 PgE	0.144963	6544.750000
1	5	4	 PgMe	0.000404	18.250000
1	5	4	 S	0.010106	456.250000
1	5	4	 SBb	0.024038	1085.250000
1	5	4	 SPe	0.008301	374.750000
1	5	4	 SE	0.009319	420.750000
1	5	4	 SPg	0.000581	26.250000
1	5	4	 SC	0.000432	19.500000
1	5	4	 Me	0.001035	46.750000
1	5	4	 MeE	0.012094	546.000000
1	5	4	 MePg	0.000548	24.750000
1	5	4	 C	0.000100	4.500000
1	5	4	 CE	0.000432	19.500000
1	5	4	 CS	0.000421	19.000000
1	5	5	 Bb	0.095610	21787.500000
1	5	5	 BbPe	0.083114	18940.000000
1	5	5	 BbE	0.012446	2836.250000
1	5	5	 BbPg	0.001596	363.750000
1	5	5	 BbS	0.228627	52099.500000
1	5	5	 Pe	0.004924	1122.000000
1	5	5	 PeBb	0.058780	13394.750000
1	5	5	 PeE	0.007327	1669.750000
1	5	5	 PePg	0.003655	833.000000
1	5	5	 PeS	0.001462	333.250000
1	5	5	 E	0.117226	26713.500000
1	5	5	 EBb	0.025698	5856.000000
1	5	5	 EPe	0.020975	4779.750000
1	5	5	 EPg	0.029772	6784.500000
1	5	5	 ES	0.038065	8674.250000
1	5	5	 EMe	0.001627	370.750000
1	5	5	 Pg	0.016376	3731.750000
1	5	5	 PgBb	0.005185	1181.500000
1	5	5	 PgPe	0.007519	1713.500000
1	5	5	 PgE	0.182948	41690.250000
1	5	5	 PgMe	0.000076	17.250000
1	5	5	 S	0.021052	4797.250000
1	5	5	 SBb	0.021905	4991.750000
1	5	5	 SPe	0.010169	2317.250000
1	5	5	 SE	0.003556	810.250000
1	5	5	 SPg	0.000063	14.250000
1	5	5	 SMe	0.000133	30.250000
1	5	5	 MeE	0.000032	7.250000
1	5	5	 MePg	0.000001	0.250000
1	5	5	 CBb	0.000067	15.250000
1	5	5	 CS	0.000015	3.500000
1	5	6	 Bb	0.081879	9064.000000
1	5	6	 BbPe	0.092208	10207.500000
1	5	6	 BbE	0.023839	2639.000000
1	5	6	 BbPg	0.001784	197.500000
1	5	6	 BbS	0.125779	13923.750000
1	5	6	 Pe	0.005126	567.500000
1	5	6	 PeBb	0.068875	7624.500000
1	5	6	 PeE	0.006854	758.750000
1	5	6	 PePg	0.002949	326.500000
1	5	6	 PeS	0.001159	128.250000
1	5	6	 E	0.085456	9460.000000
1	5	6	 EBb	0.036798	4073.500000
1	5	6	 EPe	0.018670	2066.750000
1	5	6	 EPg	0.038460	4257.500000
1	5	6	 ES	0.047195	5224.500000
1	5	6	 EMe	0.000585	64.750000
1	5	6	 Pg	0.068875	7624.500000
1	5	6	 PgBb	0.010948	1212.000000
1	5	6	 PgPe	0.014537	1609.250000
1	5	6	 PgE	0.208902	23125.500000
1	5	6	 PgS	0.000075	8.250000
1	5	6	 S	0.018625	2061.750000
1	5	6	 SBb	0.026330	2914.750000
1	5	6	 SPe	0.010237	1133.250000
1	5	6	 SE	0.003643	403.250000
1	5	6	 SPg	0.000212	23.500000
1	5	7	 Bb	0.022172	102.750000
1	5	7	 BbPe	0.082160	380.750000
1	5	7	 BbE	0.030749	142.500000
1	5	7	 BbS	0.124562	577.250000
1	5	7	 Pe	0.001618	7.500000
1	5	7	 PeBb	0.040999	190.000000
1	5	7	 PeE	0.002104	9.750000
1	5	7	 E	0.087339	404.750000
1	5	7	 EBb	0.114096	528.750000
1	5	7	 EPe	0.016454	76.250000
1	5	7	 EPg	0.038949	180.500000
1	5	7	 ES	0.053299	247.000000
1	5	7	 Pg	0.058370	270.500000
1	5	7	 PgBb	0.015536	72.000000
1	5	7	 PgPe	0.012354	57.250000
1	5	7	 PgE	0.224524	1040.500000
1	5	7	 S	0.003560	16.500000
1	5	7	 SBb	0.052867	245.000000
1	5	7	 SPe	0.018288	84.750000
1	10	2	 S	1	60.750000
1	10	3	 BbPe	0.018586	38.500000
1	10	3	 BbE	0.006517	13.500000
1	10	3	 BbS	0.036085	74.750000
1	10	3	 PeBb	0.016293	33.750000
1	10	3	 E	0.585807	1213.500000
1	10	3	 EBb	0.006155	12.750000
1	10	3	 EPg	0.021241	44.000000
1	10	3	 ES	0.020034	41.500000
1	10	3	 EMe	0.104634	216.750000
1	10	3	 PgE	0.130944	271.250000
1	10	3	 PgMe	0.002534	5.250000
1	10	3	 S	0.001448	3.000000
1	10	3	 SE	0.031620	65.500000
1	10	3	 Me	0.002534	5.250000
1	10	3	 MeE	0.015568	32.250000
1	10	4	 Bb	0.016341	737.750000
1	10	4	 BbPe	0.021396	966.000000
1	10	4	 BbE	0.019984	902.250000
1	10	4	 BbS	0.139221	6285.500000
1	10	4	 Pe	0.000399	18.000000
1	10	4	 PeBb	0.016103	727.000000
1	10	4	 PeE	0.001634	73.750000
1	10	4	 PeS	0.000199	9.000000
1	10	4	 E	0.358124	16168.500000
1	10	4	 EBb	0.045235	2042.250000
1	10	4	 EPe	0.012160	549.000000
1	10	4	 EPg	0.032538	1469.000000
1	10	4	 ES	0.071366	3222.000000
1	10	4	 EMe	0.045844	2069.750000
1	10	4	 EC	0.000570	25.750000
1	10	4	 Pg	0.003605	162.750000
1	10	4	 PgBb	0.001495	67.500000
1	10	4	 PgPe	0.001013	45.750000
1	10	4	 PgE	0.144963	6544.750000
1	10	4	 PgMe	0.000404	18.250000
1	10	4	 S	0.010106	456.250000
1	10	4	 SBb	0.024038	1085.250000
1	10	4	 SPe	0.008301	374.750000
1	10	4	 SE	0.009319	420.750000
1	10	4	 SPg	0.000581	26.250000
1	10	4	 SC	0.000432	19.500000
1	10	4	 Me	0.001035	46.750000
1	10	4	 MeE	0.012094	546.000000
1	10	4	 MePg	0.000548	24.750000
1	10	4	 C	0.000100	4.500000
1	10	4	 CE	0.000432	19.500000
1	10	4	 CS	0.000421	19.000000
1	10	5	 Bb	0.095610	21787.500000
1	10	5	 BbPe	0.083114	18940.000000
1	10	5	 BbE	0.012446	2836.250000
1	10	5	 BbPg	0.001596	363.750000
1	10	5	 BbS	0.228627	52099.500000
1	10	5	 Pe	0.004924	1122.000000
1	10	5	 PeBb	0.058780	13394.750000
1	10	5	 PeE	0.007327	1669.750000
1	10	5	 PePg	0.003655	833.000000
1	10	5	 PeS	0.001462	333.250000
1	10	5	 E	0.117226	26713.500000
1	10	5	 EBb	0.025698	5856.000000
1	10	5	 EPe	0.020975	4779.750000
1	10	5	 EPg	0.029772	6784.500000
1	10	5	 ES	0.038065	8674.250000
1	10	5	 EMe	0.001627	370.750000
1	10	5	 Pg	0.016376	3731.750000
1	10	5	 PgBb	0.005185	1181.500000
1	10	5	 PgPe	0.007519	1713.500000
1	10	5	 PgE	0.182948	41690.250000
1	10	5	 PgMe	0.000076	17.250000
1	10	5	 S	0.021052	4797.250000
1	10	5	 SBb	0.021905	4991.750000
1	10	5	 SPe	0.010169	2317.250000
1	10	5	 SE	0.003556	810.250000
1	10	5	 SPg	0.000063	14.250000
1	10	5	 SMe	0.000133	30.250000
1	10	5	 MeE	0.000032	7.250000
1	10	5	 MePg	0.000001	0.250000
1	10	5	 CBb	0.000067	15.250000
1	10	5	 CS	0.000015	3.500000
1	10	6	 Bb	0.081879	9064.000000
1	10	6	 BbPe	0.092208	10207.500000
1	10	6	 BbE	0.023839	2639.000000
1	10	6	 BbPg	0.001784	197.500000
1	10	6	 BbS	0.125779	13923.750000
1	10	6	 Pe	0.005126	567.500000
1	10	6	 PeBb	0.068875	7624.500000
1	10	6	 PeE	0.006854	758.750000
1	10	6	 PePg	0.002949	326.500000
1	10	6	 PeS	0.001159	128.250000
1	10	6	 E	0.085456	9460.000000
1	10	6	 EBb	0.036798	4073.500000
1	10	6	 EPe	0.018670	2066.750000
1	10	6	 EPg	0.038460	4257.500000
1	10	6	 ES	0.047195	5224.500000
1	10	6	 EMe	0.000585	64.750000
1	10	6	 Pg	0.068875	7624.500000
1	10	6	 PgBb	0.010948	1212.000000
1	10	6	 PgPe	0.014537	1609.250000
1	10	6	 PgE	0.208902	23125.500000
1	10	6	 PgS	0.000075	8.250000
1	10	6	 S	0.018625	2061.750000
1	10	6	 SBb	0.026330	2914.750000
1	10	6	 SPe	0.010237	1133.250000
1	10	6	 SE	0.003643	403.250000
1	10	6	 SPg	0.000212	23.500000
1	10	7	 Bb	0.022172	102.750000
1	10	7	 BbPe	0.082160	380.750000
1	10	7	 BbE	0.030749	142.500000
1	10	7	 BbS	0.124562	577.250000
1	10	7	 Pe	0.001618	7.500000
1	10	7	 PeBb	0.040999	190.000000
1	10	7	 PeE	0.002104	9.750000
1	10	7	 E	0.087339	404.750000
1	10	7	 EBb	0.114096	528.750000
1	10	7	 EPe	0.016454	76.250000
1	10	7	 EPg	0.038949	180.500000
1	10	7	 ES	0.053299	247.000000
1	10	7	 Pg	0.058370	270.500000
1	10	7	 PgBb	0.015536	72.000000
1	10	7	 PgPe	0.012354	57.250000
1	10	7	 PgE	0.224524	1040.500000
1	10	7	 S	0.003560	16.500000
1	10	7	 SBb	0.052867	245.000000
1	10	7	 SPe	0.018288	84.750000
1	15	2	 S	1	60.750000
1	15	3	 BbPe	0.018586	38.500000
1	15	3	 BbE	0.006517	13.500000
1	15	3	 BbS	0.036085	74.750000
1	15	3	 PeBb	0.016293	33.750000
1	15	3	 E	0.585807	1213.500000
1	15	3	 EBb	0.006155	12.750000
1	15	3	 EPg	0.021241	44.000000
1	15	3	 ES	0.020034	41.500000
1	15	3	 EMe	0.104634	216.750000
1	15	3	 PgE	0.130944	271.250000
1	15	3	 PgMe	0.002534	5.250000
1	15	3	 S	0.001448	3.000000
1	15	3	 SE	0.031620	65.500000
1	15	3	 Me	0.002534	5.250000
1	15	3	 MeE	0.015568	32.250000
1	15	4	 Bb	0.016341	737.750000
1	15	4	 BbPe	0.021396	966.000000
1	15	4	 BbE	0.019984	902.250000
1	15	4	 BbS	0.139221	6285.500000
1	15	4	 Pe	0.000399	18.000000
1	15	4	 PeBb	0.016103	727.000000
1	15	4	 PeE	0.001634	73.750000
1	15	4	 PeS	0.000199	9.000000
1	15	4	 E	0.358124	16168.500000
1	15	4	 EBb	0.045235	2042.250000
1	15	4	 EPe	0.012160	549.000000
1	15	4	 EPg	0.032538	1469.000000
1	15	4	 ES	0.071366	3222.000000
1	15	4	 EMe	0.045844	2069.750000
1	15	4	 EC	0.000570	25.750000
1	15	4	 Pg	0.003605	162.750000
1	15	4	 PgBb	0.001495	67.500000
1	15	4	 PgPe	0.001013	45.750000
1	15	4	 PgE	0.144963	6544.750000
1	15	4	 PgMe	0.000404	18.250000
1	15	4	 S	0.010106	456.250000
1	15	4	 SBb	0.024038	1085.250000
1	15	4	 SPe	0.008301	374.750000
1	15	4	 SE	0.009319	420.750000
1	15	4	 SPg	0.000581	26.250000
1	15	4	 SC	0.000432	19.500000
1	15	4	 Me	0.001035	46.750000
1	15	4	 MeE	0.012094	546.000000
1	15	4	 MePg	0.000548	24.750000
1	15	4	 C	0.000100	4.500000
1	15	4	 CE	0.000432	19.500000
1	15	4	 CS	0.000421	19.000000
1	15	5	 Bb	0.095610	21787.500000
1	15	5	 BbPe	0.083114	18940.000000
1	15	5	 BbE	0.012446	2836.250000
1	15	5	 BbPg	0.001596	363.750000
1	15	5	 BbS	0.228627	52099.500000
1	15	5	 Pe	0.004924	1122.000000
1	15	5	 PeBb	0.058780	13394.750000
1	15	5	 PeE	0.007327	1669.750000
1	15	5	 PePg	0.003655	833.000000
1	15	5	 PeS	0.001462	333.250000
1	15	5	 E	0.117226	26713.500000
1	15	5	 EBb	0.025698	5856.000000
1	15	5	 EPe	0.020975	4779.750000
1	15	5	 EPg	0.029772	6784.500000
1	15	5	 ES	0.038065	8674.250000
1	15	5	 EMe	0.001627	370.750000
1	15	5	 Pg	0.016376	3731.750000
1	15	5	 PgBb	0.005185	1181.500000
1	15	5	 PgPe	0.007519	1713.500000
1	15	5	 PgE	0.182948	41690.250000
1	15	5	 PgMe	0.000076	17.250000
1	15	5	 S	0.021052	4797.250000
1	15	5	 SBb	0.021905	4991.750000
1	15	5	 SPe	0.010169	2317.250000
1	15	5	 SE	0.003556	810.250000
1	15	5	 SPg	0.000063	14.250000
1	15	5	 SMe	0.000133	30.250000
1	15	5	 MeE	0.000032	7.250000
1	15	5	 MePg	0.000001	0.250000
1	15	5	 CBb	0.000067	15.250000
1	15	5	 CS	0.000015	3.500000
1	15	6	 Bb	0.081879	9064.000000
1	15	6	 BbPe	0.092208	10207.500000
1	15	6	 BbE	0.023839	2639.000000
1	15	6	 BbPg	0.001784	197.500000
1	15	6	 BbS	0.125779	13923.750000
1	15	6	 Pe	0.005126	567.500000
1	15	6	 PeBb	0.068875	7624.500000
1	15	6	 PeE	0.006854	758.750000
1	15	6	 PePg	0.002949	326.500000
1	15	6	 PeS	0.001159	128.250000
1	15	6	 E	0.085456	9460.000000
1	15	6	 EBb	0.036798	4073.500000
1	15	6	 EPe	0.018670	2066.750000
1	15	6	 EPg	0.038460	4257.500000
1	15	6	 ES	0.047195	5224.500000
1	15	6	 EMe	0.000585	64.750000
1	15	6	 Pg	0.068875	7624.500000
1	15	6	 PgBb	0.010948	1212.000000
1	15	6	 PgPe	0.014537	1609.250000
1	15	6	 PgE	0.208902	23125.500000
1	15	6	 PgS	0.000075	8.250000
1	15	6	 S	0.018625	2061.750000
1	15	6	 SBb	0.026330	2914.750000
1	15	6	 SPe	0.010237	1133.250000
1	15	6	 SE	0.003643	403.250000
1	15	6	 SPg	0.000212	23.500000
1	15	7	 Bb	0.022172	102.750000
1	15	7	 BbPe	0.082160	380.750000
1	15	7	 BbE	0.030749	142.500000
1	15	7	 BbS	0.124562	577.250000
1	15	7	 Pe	0.001618	7.500000
1	15	7	 PeBb	0.040999	190.000000
1	15	7	 PeE	0.002104	9.750000
1	15	7	 E	0.087339	404.750000
1	15	7	 EBb	0.114096	528.750000
1	15	7	 EPe	0.016454	76.250000
1	15	7	 EPg	0.038949	180.500000
1	15	7	 ES	0.053299	247.000000
1	15	7	 Pg	0.058370	270.500000
1	15	7	 PgBb	0.015536	72.000000
1	15	7	 PgPe	0.012354	57.250000
1	15	7	 PgE	0.224524	1040.500000
1	15	7	 S	0.003560	16.500000
1	15	7	 SBb	0.052867	245.000000
1	15	7	 SPe	0.018288	84.750000
1	20	2	 S	1	60.750000
1	20	3	 BbPe	0.018586	38.500000
1	20	3	 BbE	0.006517	13.500000
1	20	3	 BbS	0.036085	74.750000
1	20	3	 PeBb	0.016293	33.750000
1	20	3	 E	0.585807	1213.500000
1	20	3	 EBb	0.006155	12.750000
1	20	3	 EPg	0.021241	44.000000
1	20	3	 ES	0.020034	41.500000
1	20	3	 EMe	0.104634	216.750000
1	20	3	 PgE	0.130944	271.250000
1	20	3	 PgMe	0.002534	5.250000
1	20	3	 S	0.001448	3.000000
1	20	3	 SE	0.031620	65.500000
1	20	3	 Me	0.002534	5.250000
1	20	3	 MeE	0.015568	32.250000
1	20	4	 Bb	0.016341	737.750000
1	20	4	 BbPe	0.021396	966.000000
1	20	4	 BbE	0.019984	902.250000
1	20	4	 BbS	0.139221	6285.500000
1	20	4	 Pe	0.000399	18.000000
1	20	4	 PeBb	0.016103	727.000000
1	20	4	 PeE	0.001634	73.750000
1	20	4	 PeS	0.000199	9.000000
1	20	4	 E	0.358124	16168.500000
1	20	4	 EBb	0.045235	2042.250000
1	20	4	 EPe	0.012160	549.000000
1	20	4	 EPg	0.032538	1469.000000
1	20	4	 ES	0.071366	3222.000000
1	20	4	 EMe	0.045844	2069.750000
1	20	4	 EC	0.000570	25.750000
1	20	4	 Pg	0.003605	162.750000
1	20	4	 PgBb	0.001495	67.500000
1	20	4	 PgPe	0.001013	45.750000
1	20	4	 PgE	0.144963	6544.750000
1	20	4	 PgMe	0.000404	18.250000
1	20	4	 S	0.010106	456.250000
1	20	4	 SBb	0.024038	1085.250000
1	20	4	 SPe	0.008301	374.750000
1	20	4	 SE	0.009319	420.750000
1	20	4	 SPg	0.000581	26.250000
1	20	4	 SC	0.000432	19.500000
1	20	4	 Me	0.001035	46.750000
1	20	4	 MeE	0.012094	546.000000
1	20	4	 MePg	0.000548	24.750000
1	20	4	 C	0.000100	4.500000
1	20	4	 CE	0.000432	19.500000
1	20	4	 CS	0.000421	19.000000
1	20	5	 Bb	0.095610	21787.500000
1	20	5	 BbPe	0.083114	18940.000000
1	20	5	 BbE	0.012446	2836.250000
1	20	5	 BbPg	0.001596	363.750000
1	20	5	 BbS	0.228627	52099.500000
1	20	5	 Pe	0.004924	1122.000000
1	20	5	 PeBb	0.058780	13394.750000
1	20	5	 PeE	0.007327	1669.750000
1	20	5	 PePg	0.003655	833.000000
1	20	5	 PeS	0.001462	333.250000
1	20	5	 E	0.117226	26713.500000
1	20	5	 EBb	0.025698	5856.000000
1	20	5	 EPe	0.020975	4779.750000
1	20	5	 EPg	0.029772	6784.500000
1	20	5	 ES	0.038065	8674.250000
1	20	5	 EMe	0.001627	370.750000
1	20	5	 Pg	0.016376	3731.750000
1	20	5	 PgBb	0.005185	1181.500000
1	20	5	 PgPe	0.007519	1713.500000
1	20	5	 PgE	0.182948	41690.250000
1	20	5	 PgMe	0.000076	17.250000
1	20	5	 S	0.021052	4797.250000
1	20	5	 SBb	0.021905	4991.750000
1	20	5	 SPe	0.010169	2317.250000
1	20	5	 SE	0.003556	810.250000
1	20	5	 SPg	0.000063	14.250000
1	20	5	 SMe	0.000133	30.250000
1	20	5	 MeE	0.000032	7.250000
1	20	5	 MePg	0.000001	0.250000
1	20	5	 CBb	0.000067	15.250000
1	20	5	 CS	0.000015	3.500000
1	20	6	 Bb	0.081879	9064.000000
1	20	6	 BbPe	0.092208	10207.500000
1	20	6	 BbE	0.023839	2639.000000
1	20	6	 BbPg	0.001784	197.500000
1	20	6	 BbS	0.125779	13923.750000
1	20	6	 Pe	0.005126	567.500000
1	20	6	 PeBb	0.068875	7624.500000
1	20	6	 PeE	0.006854	758.750000
1	20	6	 PePg	0.002949	326.500000
1	20	6	 PeS	0.001159	128.250000
1	20	6	 E	0.085456	9460.000000
1	20	6	 EBb	0.036798	4073.500000
1	20	6	 EPe	0.018670	2066.750000
1	20	6	 EPg	0.038460	4257.500000
1	20	6	 ES	0.047195	5224.500000
1	20	6	 EMe	0.000585	64.750000
1	20	6	 Pg	0.068875	7624.500000
1	20	6	 PgBb	0.010948	1212.000000
1	20	6	 PgPe	0.014537	1609.250000
1	20	6	 PgE	0.208902	23125.500000
1	20	6	 PgS	0.000075	8.250000
1	20	6	 S	0.018625	2061.750000
1	20	6	 SBb	0.026330	2914.750000
1	20	6	 SPe	0.010237	1133.250000
1	20	6	 SE	0.003643	403.250000
1	20	6	 SPg	0.000212	23.500000
1	20	7	 Bb	0.022172	102.750000
1	20	7	 BbPe	0.082160	380.750000
1	20	7	 BbE	0.030749	142.500000
1	20	7	 BbS	0.124562	577.250000
1	20	7	 Pe	0.001618	7.500000
1	20	7	 PeBb	0.040999	190.000000
1	20	7	 PeE	0.002104	9.750000
1	20	7	 E	0.087339	404.750000
1	20	7	 EBb	0.114096	528.750000
1	20	7	 EPe	0.016454	76.250000
1	20	7	 EPg	0.038949	180.500000
1	20	7	 ES	0.053299	247.000000
1	20	7	 Pg	0.058370	270.500000
1	20	7	 PgBb	0.015536	72.000000
1	20	7	 PgPe	0.012354	57.250000
1	20	7	 PgE	0.224524	1040.500000
1	20	7	 S	0.003560	16.500000
1	20	7	 SBb	0.052867	245.000000
1	20	7	 SPe	0.018288	84.750000
1	25	2	 S	1	60.750000
1	25	3	 BbPe	0.018586	38.500000
1	25	3	 BbE	0.006517	13.500000
1	25	3	 BbS	0.036085	74.750000
1	25	3	 PeBb	0.016293	33.750000
1	25	3	 E	0.585807	1213.500000
1	25	3	 EBb	0.006155	12.750000
1	25	3	 EPg	0.021241	44.000000
1	25	3	 ES	0.020034	41.500000
1	25	3	 EMe	0.104634	216.750000
1	25	3	 PgE	0.130944	271.250000
1	25	3	 PgMe	0.002534	5.250000
1	25	3	 S	0.001448	3.000000
1	25	3	 SE	0.031620	65.500000
1	25	3	 Me	0.002534	5.250000
1	25	3	 MeE	0.015568	32.250000
1	25	4	 Bb	0.016341	737.750000
1	25	4	 BbPe	0.021396	966.000000
1	25	4	 BbE	0.019984	902.250000
1	25	4	 BbS	0.139221	6285.500000
1	25	4	 Pe	0.000399	18.000000
1	25	4	 PeBb	0.016103	727.000000
1	25	4	 PeE	0.001634	73.750000
1	25	4	 PeS	0.000199	9.000000
1	25	4	 E	0.358124	16168.500000
1	25	4	 EBb	0.045235	2042.250000
1	25	4	 EPe	0.012160	549.000000
1	25	4	 EPg	0.032538	1469.000000
1	25	4	 ES	0.071366	3222.000000
1	25	4	 EMe	0.045844	2069.750000
1	25	4	 EC	0.000570	25.750000
1	25	4	 Pg	0.003605	162.750000
1	25	4	 PgBb	0.001495	67.500000
1	25	4	 PgPe	0.001013	45.750000
1	25	4	 PgE	0.144963	6544.750000
1	25	4	 PgMe	0.000404	18.250000
1	25	4	 S	0.010106	456.250000
1	25	4	 SBb	0.024038	1085.250000
1	25	4	 SPe	0.008301	374.750000
